"","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","lambda_n","lambda_w","log_kappa","log_kappa","log_kappa","log_kappa","log_tau","log_tau","log_tau","log_tau","log_sigma"
"beta_n",1,0.894250503788619,0.891001843309584,0.892458628382404,0.889936382619691,0.893391396124432,0.890089197125553,0.894078844399418,0.892194190054023,0.889774197913179,-0.117070097947559,-0.0549595526071468,-0.0541928303067825,-0.0540759564163538,-0.0535897718709097,-0.0546650673685529,-0.0554510266184322,-0.0539624296359125,-0.0544391124033921,-0.0550078338277769,-0.192422936358807,0.124570754341943,0.0183528748785853,-1.2211415066307e-05,-1.95714655843164e-05,3.35478795846985e-06,-0.0126606093237881,-0.00141153568859414,-8.24428672269532e-05,7.79845392553693e-05,0.000867032617166462
"beta_n",0.894250503788619,1,0.897246360284369,0.898884053375558,0.896348073608439,0.8999556494883,0.896453853247962,0.900523169253015,0.898551432285957,0.896302815639244,-0.0548502585093038,-0.110768569984586,-0.0559161688344835,-0.0559043987170212,-0.0553973936667365,-0.0565453361316588,-0.0572134863646605,-0.0557579383204886,-0.0561804347821892,-0.0568654577018268,-0.198752340752282,0.129045930309234,0.0161226939208906,-0.000568222150269383,-2.01738276450533e-05,3.428113509248e-06,-0.00544477242361755,-0.00311663505109768,-8.48444471552193e-05,8.03094216766137e-05,0.00041455707499896
"beta_n",0.891001843309583,0.897246360284369,1,0.89533605067826,0.892907167095335,0.896360692080554,0.893064284296678,0.897352915059333,0.895009993487669,0.892932346926732,-0.0544579129800798,-0.0562622460469272,-0.115393973118735,-0.0553332765257078,-0.0549074439919513,-0.0559597816033458,-0.0567365101414647,-0.0554350743261355,-0.0556670873699708,-0.0564149517535071,-0.192700126027532,0.124786976257742,0.012424406000047,-0.00104450672189926,-1.96860299830809e-05,3.30438099644399e-06,-0.00372122536479558,-0.00415588176206466,-8.28181161702126e-05,7.86085693941052e-05,-0.000914622855476624
"beta_n",0.892458628382405,0.898884053375558,0.895336050678261,1,0.894476901775178,0.898085645084178,0.894623094615142,0.898554551525449,0.896704982193807,0.894308895650691,-0.0541170622447471,-0.0560269781066432,-0.0551042160536133,-0.11219848865747,-0.0546447847350003,-0.0557764223106814,-0.0564655165415674,-0.0549507321848611,-0.0554337669349516,-0.0560473896530476,-0.198268011617848,0.128566635528907,0.0143044392456298,0.00036213707939502,-2.00988758194615e-05,3.35662552081331e-06,-0.00352937884806185,-0.003190477753845,-8.45688215174898e-05,7.99606240725554e-05,0.000509003451365227
"beta_n",0.889936382619691,0.896348073608439,0.892907167095336,0.894476901775177,1,0.895317209314442,0.892058787556673,0.896316996816441,0.894122081831945,0.891821045848169,-0.0535232221164712,-0.0554020612141117,-0.0545590775467371,-0.0545045369004816,-0.114946615415362,-0.0550244458009133,-0.0558234548630831,-0.0545087106416355,-0.0547972408931955,-0.0554339131342188,-0.187855171233113,0.121836616070805,0.0153048522497885,0.000752578254134865,-1.99167008912784e-05,3.38959867498294e-06,-0.00553478861909332,-0.0033485027146969,-8.34509696859455e-05,7.90745859716945e-05,0.00124145423074913
"beta_n",0.893391396124432,0.8999556494883,0.896360692080554,0.898085645084178,0.895317209314442,1,0.895582835411676,0.899609584815054,0.89769857068388,0.89534842291512,-0.0545174759426371,-0.0564915748788406,-0.055533583234284,-0.0555731173259537,-0.0549500093377565,-0.111482068646894,-0.0568640244074402,-0.0553781514202242,-0.0558473413731218,-0.0564682951950685,-0.19749979231606,0.128578349062934,0.0123957644973933,0.000767240281015211,-2.00930240151331e-05,3.41902324970366e-06,0.000499803414019796,-0.00598984507919856,-8.44010255352067e-05,7.99506721105351e-05,0.00101707253931771
"beta_n",0.890089197125553,0.896453853247962,0.893064284296679,0.894623094615142,0.892058787556673,0.895582835411675,1,0.896386465719563,0.894180460747429,0.892188430901338,-0.0550827498803207,-0.0569457078795418,-0.0561187721952709,-0.0560777987759297,-0.0555689877383058,-0.0566384646484782,-0.118432030270139,-0.0560215162746202,-0.0563163139005266,-0.0571165692886344,-0.193306897299831,0.12533057322005,0.0159794929635109,0.00149697835165634,-2.0906521463322e-05,3.57809703349053e-06,-0.00584160250008233,-0.00566877973172627,-8.81022631631114e-05,8.30242432702243e-05,0.00103990544666459
"beta_n",0.894078844399418,0.900523169253015,0.897352915059333,0.898554551525449,0.896316996816441,0.899609584815054,0.896386465719563,1,0.898203141486128,0.895978980195867,-0.054339954742041,-0.0562307529546193,-0.0555522522385896,-0.0552856086340077,-0.0549608677004374,-0.0559172692196917,-0.0567590200897045,-0.109568006316037,-0.055584108625288,-0.056265813740104,-0.191361269953581,0.124534830171523,0.0124396185315235,0.000115581798022035,-2.02077693518436e-05,3.42761941835783e-06,-0.00355203129507406,-0.00387096050399112,-8.44706981687664e-05,8.00893318195435e-05,-0.000521711806993314
"beta_n",0.892194190054023,0.898551432285957,0.895009993487668,0.896704982193806,0.894122081831945,0.89769857068388,0.894180460747429,0.898203141486129,1,0.893986955362495,-0.0544044361060551,-0.0562787005881602,-0.0553866636971361,-0.0554025063923914,-0.0548930660826366,-0.0560019899279325,-0.0566630143429518,-0.0551811921342572,-0.113802338434806,-0.0562846923618503,-0.19074422088349,0.123520853832315,0.0181406413306573,-0.00100102994222451,-2.02387414824328e-05,3.41063024917309e-06,-0.0078309604684109,0.000132860960184312,-8.48096739721892e-05,8.05132252454516e-05,-0.000820934433493967
"beta_n",0.889774197913178,0.896302815639244,0.892932346926732,0.89430889565069,0.891821045848169,0.895348422915119,0.892188430901338,0.895978980195867,0.893986955362495,1,-0.0548466013101708,-0.0568047296253346,-0.0560156116221562,-0.0558502313387488,-0.0553842197565303,-0.0564691367046378,-0.0573244904224046,-0.0557233423193119,-0.056145645993536,-0.118129914390642,-0.192134240525517,0.124943333768163,0.0163212730551742,-0.000210557117525977,-2.02955121896855e-05,3.49307520948078e-06,-0.00741765920088518,-0.00361031899300101,-8.51169115357203e-05,8.05992812014103e-05,0.00105126116972305
